,Society,event_name,attendance_count,interested_count,no_reply_count,declined_count,maybe_count,total_invited_count,description,place,city,country,street,zip,latitude,longitude,society_size,Start_time,Date,Campus
19,SydneyUniversityBusinessSociety,SUBS AGM,78,44,379,0,44,545,"NOTICE IS HEREBY GIVEN of the Annual General Meeting of the Sydney Uni Business Society. Nominations will be considered for executive positions by emailing secretary@subsoc.com.au with your name, nominated position and access number. Nominees may be required to give a short speech at the meeting. Please note that to nominate yourself for positions i through to iv you are required to have been an executive member.

AGENDA

1. OPENING AND WELCOME 
2. APOLOGIES AND LEAVES OF ABSENCE 
3. MINUTES OF THE PREVIOUS MEETING Minutes of the meeting held 26/04/2017 will be considered. 
4. BUSINESS ARISING FROM THE MINUTES 
5. CORRESPONDENCE Incoming and outgoing correspondence since the previous meeting of the Society will be circulated. 
6. MOTIONS ON NOTICE 
6.1 Amendment to the Constitution Motion: That the Constitution of the Society be amended at Clause 8.1 and any subsequent points be re-numbered as necessary. 
4.1 The Executives: Vice president (internal) and Vice president (external) shall be replaced with two general Vice president positions 

7. ELECTION Annual Election of Executives: The Society shall have an Executive consisting of: 
i. 1 President 
ii. 2 Vice Presidents 
iii. 1 Secretary
iv. 1 Treasurer 
v. 4 Events Directors 
vi. 2 External Relations Directors 
vii. 1 Marketing Director (Social Media) 
viii. 1 Marketing Director (Design) 
ix. 3 Publications Directors 
x. 2 Sports Directors 
xi. 2 Operations Directors 
xiii. 1 Alumni Relations Director
xv. 1 International Relations Director 
xvii. 1 Past President/Vice President Nominate via email to secretary@subsoc.com.au .
Nominations will close 24 hours prior to the AGM. 
8. REPORTS OF EXECUTIVE MEMBERS 
Report of the President. The President will deliver his report orally. Report of the Treasurer. The Treasurer will speak to his report attached. 
9. OTHER REPORTS 
10. GENERAL BUSINESS 
11. OTHER BUSINESS 
12. DATE OF THE NEXT MEETING The date of the next General Meeting will be confirmed as per the incoming executive 
13. CLOSE OF MEETING",Isabel Fidler Room,Camperdown,Australia,"Manning House, Manning Road",2050.0,-33.8865533,151.18778930000005,7003,17:00:00+1000,2017-08-16,0
25,SydneyUniversityBusinessSociety,Interfaculty Pub Crawl,751,1364,1820,0,1364,5299,"It’s that time of the year when we turn down the hostilities, tear down the barrier between the schools and faculties and come together for a night of fun.  We will be taking the party through the streets of Darlington/Glebe/Chippendale and visit many of the well know pubs in the area.

Join us at Cadigal Green Lawns at 4pm where the engineering societies have kindly volunteered to provide you with some cheap food and refreshments prior to taking on the surrounding pubs and bars.

SUEUA – $2 Beer & Cider
SUWIE - Pizza! $1 Slice $3 Half $5 Whole
MUGS (Mechanical) – BBQ
SUMO (Mechatronic) - $2 Cruiser Strawpedos
SUCE (Civil) – Pulled Pork
SUABE (Biomed) - $2 Shots
SparkSoc (Electrical) – Little Fat Lamb


In Association with SUBS, SCISOC, SUPA, EDSOC SUDA, SUITS, SASS, MESSY, ESSSA, VetSoc and more to come...

Faculty Themes:
- ED: Flower Power
- SUDA: All Black
- SASS: Safari
- SciSoc: Alpine Adventure
- SUEUA: Glitter Galactica
- SUBS: Straight Outta NAPLAN
- SUITS: Crazy Consipracies
- MESSY: Drs vs Drunkards
- ESSSA: Under the Sea
- VetSoc: Farm

*USU supports the responsible service of alcohol",Cadigal Lawns,Sydney,Australia,Maze Crescent,2008.0,-33.88967972,151.1917444,7003,16:00:00+1000,2017-05-19,0
26,SydneyUniversityBusinessSociety,SUBS x The Royal presents: Weekly Beers and Buddies,12,30,208,0,30,280,"Join us again this week for our newest social event, in partnership with the Royal Hotel: 

1pm - 3pm every Wednesday, on the second floor of the Royal (to ourselves).

After a morning of playing in, cheering for or being with our Interfaculty Sports Team in spirit, quench your thirst and sate your hunger at Darlington’s beloved establishment with fellow members of USYD’s finest faculty

Cross the road and come upstairs for:

Free chips and wedges ($5 for non-Access)
$12 student jugs of Boags, Tooheys New and 5 Seeds
$10 student lunches (steak, schnitty etc.)
Good vibes and great people

See you there.",The Royal,Sydney,Australia,370 Abercrombie Street,2008.0,-33.89271,151.19171,7003,13:00:00+1000,2017-05-17,0
27,SydneyUniversityBusinessSociety,SUBS x Midori present: Boogie Wonderland Cruise - SOLD OUT,521,852,986,0,852,3211,"Final release is now on sale!! Get your tickets here: http://boogiewonderland.getqpay.com 

From the team who brought you Daddy’s Yacht Party, Neverland Ball and SUBS·CHELLA: 

***

It’s time to say goodbye to Daddy’s Limousine and hello to Austin Powers meets Dancing Queen. 
Don’t let those mid-semesters throw you off the boat, P’s get degrees so it’s time to float. 
Beer, booze, buzz and all, bring your biggest hooped earrings, and we’ll supply the disco ball.
It’s time to get groovy so take my hand, and get your tickets to SUBS Cruise Boogie Wonderland. 

Re-ignite your creative juices that accounting has suppressed! Flaunt those flared pants, tease that fro, release the chest hair and come get groooooovy baby. 

Think Jackson 5, I will survive, Elvis is King and Charlie Angels in bright bling. 

Skip your vegan, gluten, sugar, fat and taste free brunch and come get a shot of some real vitamin sea. Because who needs a kale smoothie when the only shake you’ll be doing is with your booty. 

Put on some Go Go boots, grease up your hair, rediscover your mojo and get into the 70s flair. 

It’s a free spirited cruise with unlimited booze.
And if you miss out on a ticket, don’t blame it on the sunshine, don’t blame it on the moonlight, don’t blame it on subsmarine, blame it on the boogie. 

*************************************************************

Date: 10th of May - Wednesday Night, Week 9 

Time: Meet 6:30pm at Cargo Bar for a 7pm Departure from King Street Wharf. 

Ticket Release: 
EARLY BIRD - THIS Friday 14th April, 10am - SOLD OUT
FIRST RELEASE - Tuesday 18th April, 9am - SOLD OUT 
SECOND RELEASE - Wednesday 26th April 9am - SOLD OUT

Price: 
Early Bird - Access $39, Non-Access $45 + bf - SOLD OUT 
General Release - Access $44, Non-Access $50 +bf - SOLD OUT

Ticket Includes:
- Boat entry
- UNLIMITED alcohol (beer, wine, champagne) for the first three hours on board 
- UNLIMITED pizza (meat and vegetable) 
- UNLIMITED tunes and grooves
- Entry to official after party 

OFFICIAL AFTERS: Cargo Bar - $5 drinks all night long

Lots of Love,
SUBS 

This is a 18+ ONLY event. SUBS supports the responsible service of alcohol.
Unfortunately we offer no ticket refunds. 
*************************************************************
Stay up to date and like SUBS:
Facebook Page: Sydney University Business Society (SUBS)
Facebook Group: https://www.facebook.com/groups/1749145088651287/
Instagram: subsoc
Snapchat: subsoc",King Street Wharf,Sydney,Australia,"The Promenade, via Lime Street",2000.0,-33.86746674,151.2013324,7003,18:30:00+1000,2017-05-10,0
28,SydneyUniversityBusinessSociety,SUBS x The Royal presents: Weekly Beers and Buddies,19,28,393,0,28,468,"Join us again this week for our newest social event, in partnership with the Royal Hotel: 

1pm - 3pm every Wednesday, on the second floor of the Royal (to ourselves).

After a morning of playing in, cheering for or being with our Interfaculty Sports Team in spirit, quench your thirst and sate your hunger at Darlington’s beloved establishment with fellow members of USYD’s finest faculty

Cross the road and come upstairs for:

Free chips and wedges ($5 for non-Access)
$12 student jugs of Boags, Tooheys New and 5 Seeds
$10 student lunches (steak, schnitty etc.)
Good vibes and great people

See you there.",The Royal,Sydney,Australia,370 Abercrombie Street,2008.0,-33.89271,151.19171,7003,13:00:00+1000,2017-05-10,0
29,SydneyUniversityBusinessSociety,SUBS x The Royal presents: Weekly Beers and Buddies,31,80,459,0,80,650,"SUBS is excited to announce our newest social event, in partnership with the Royal Hotel: 

1pm - 3pm every Wednesday, on the second floor of the Royal (to ourselves).

After a morning of playing in, cheering for or being with our Interfaculty Sports Team in spirit, quench your thirst and sate your hunger at Darlington’s beloved establishment with fellow members of USYD’s finest faculty

Cross the road and come upstairs for:

Free chips and wedges ($5 for non-Access)
$12 student jugs of Boags, Tooheys New and 5 Seeds
$10 student lunches (steak, schnitty etc.)
Good vibes and great people

See you there.",The Royal,Sydney,Australia,370 Abercrombie Street,2008.0,-33.89271,151.19171,7003,13:00:00+1000,2017-05-03,0
31,SydneyUniversityBusinessSociety,SUBS x The Royal presents: Weekly Beers and Buddies,32,76,398,0,76,582,"SUBS is excited to announce our newest social event, in partnership with the Royal Hotel: 

1pm - 3pm every Wednesday, on the second floor of the Royal (to ourselves).

After a morning of playing in, cheering for or being with our Interfaculty Sports Team in spirit, quench your thirst and sate your hunger at Darlington’s beloved establishment with fellow members of USYD’s finest faculty.

Cross the road and come upstairs for:

Free chips and wedges ($5 for non-Access)
$12 student jugs of Boags, Tooheys New and 5 Seeds
$10 student lunches (steak, schnitty etc.)
Good vibes and great people

See you there.


SUBS x The Royal presents: Weekly Beers and Buddies",The Royal,Sydney,Australia,370 Abercrombie Street,2008.0,-33.89271,151.19171,7003,13:00:00+1000,2017-04-26,0
34,SydneyUniversityBusinessSociety,Google On-Campus!,204,571,351,0,571,1697,"Google is coming to the University of Sydney!

Get the inside scoop on what a day a Google looks like and hear about the exciting internship and graduate opportunities within their Business / Non-Technical teams!

There’ll also be a Q&A + Prizes + Pizzas with Googlers! 

Register here to attend:
https://events.withgoogle.com/google-on-campus-anz-non-tech/

We encourage all Business-related Students in their penultimate and final years to attend.

Event details:
When: Thursday 6th April, 4:00pm - 6:00pm
Where: Institute Lecture Theatre 1, The Institute Building

See you there!

This event is brought to you by the Careers & Employability Office at the University of Sydney. Stay up-to-date with their events by joining their Facebook group: https://www.facebook.com/groups/ceosydney/","The Institute Building, University Of Sydney",Sydney,Australia,,2008.0,-33.89090761,151.18954530000005,7003,16:00:00+1000,2017-04-06,0
36,SydneyUniversityBusinessSociety,SUBS x spoonfeedme: free donuts,132,249,298,0,249,928,"Do you have a sweet tooth? Do you freaking love donuts but never have the dough? 

DONUT WORRY WE ARE HANDING OUT DELICIOUS WHEELS OF GOODNESS FOR FREE!! Creds to our amazing sponsor spoonfeedme, we are here to spoon feed you! For freeee! So come channel your inner Homer Simpson, stereotypical fat cop or hungry and budget-stricken uni student by joining us at Cadigal Lawns (behind Scitech library) Wednesday 5th April from 1pm. 

Kripsy Kremes will be flying left, right and centre so invite your mates and come get your hands finger lickin' sticky! ♥ 

spoonfeedme: https://spoonfeedme.com.au 

Facebook Group: https://www.facebook.com/groups/1749145088651287/
SUBS Snapchat: subsoc
SUBS Insta: subsoc",Cadigal Lawns,Sydney,Australia,Maze Crescent,2008.0,-33.88967972,151.1917444,7003,13:00:00+1000,2017-04-05,0
43,SydneyUniversityBusinessSociety,Mixed Interfaculty Touch Footy,20,16,141,0,16,193,"Look up keen in the dictionary and you’ll find a picture of me, because this is the one we’ve been waiting for: Interfac Touch Football.

Considered by some the highlight of the interfaculty sport season, this Wednesday we battle it out with the other faculties in Australia’s national sport (don’t google it).

WHERE: SUSAC Indoor Basketball Courts
WHO: Teams of six, with minimum of two girls
WHEN: 10:00am start (so get there slightly before). Finishing time dependant on how far we progress, as it is knockout.",The Square. The University Of Sydney,Sydney,Australia,,2006.0,-33.88761204,151.18692109999995,7003,11:00:00+1000,2016-09-21,1
44,SydneyUniversityBusinessSociety,Sydney University Business Society x Luna Park present: Neverland (2016 SUBS Ball),700,738,972,0,738,3148,"♛ SOLD OUT ♛

Neverland (n.) a place where those who come cease to age; where the Lost Boys famously refused to grow up; a metaphor for eternal childhood, immortality, and escapism. origin: J. M. Barrie (The Lost Boys and Peter Pan).

The Sydney University Business Society and Luna Park warmly invite you to Neverland: The 2016 Annual SUBS Ball.


♛ ♛ ♛

Date: Friday 16th September, 6:00pm
Entry: $125 Access, $135 Non-Access (excluding booking fees)
Location: Crystal Palace, Luna Park (Milsons Point)

Photography/Videography: House of Cameo (houseofcameo.com)
Partners: Luna Park Venues, University of Sydney Business School
Dress Code: Formal/Black-Tie

Please note that this is an 18+ only event. SUBS practices RSA.


♛ ♛ ♛

This enchanting night will include:
- Unlimited beverages (sparkling wine, beer and more)
- An exquisite three course meal (Winner of The Savour Australia’s Award for Excellence in 2015)
- Photo booths, magicians, and more magical entertainment
- Exclusive use of the Luna Park Ferris Wheel
- Palace Admission Tickets will grant you exclusive access to rides across Luna Park


♛ ♛ ♛

Luna Park Venues is the official partner for Neverland. Luna Park will provide all attendees two (2) free rides for the night of Ball with each Palace Admission ticket purchased. Additionally, twelve (12) Family-Pass Luna Park tickets (valued at AUD $200 each) will be awarded on the night to selected attendees. 

M.J. Bale is the official menswear partner for Neverland. M.J. Bale will provide attendees and SUBS members access to an exclusive discount on Blue Label apparel (suit, shirt and tie) bundles (for AUD$500, valued at AUD$800, representing a 40% discount). In addition, M.J. Bale will provide a 20% discount to SUBS members on selected full-price, in-store and online products. A discount code will be available in your Palace Admission ticket confirmation text. 

 ❂ An attendee on the night will also be selected to receive a suit valued at AUD$900. ❂ 

‘Your Closet’ is the official womenswear sponsor for Neverland. Your Closet is an online store allowing students to rent high-end designer dresses. Prominent designer labels include Alex Perry, Camilla, Nicholas, Camilla and Marc, and Thurley.
‘Your Closet’ is offering all Neverland attendees an exclusive 25% discount by using the code ‘SUBSOC’ in the coupon section at check-out. 
www.yourcloset.com.au 

❂ An attendee on the night will also be selected to receive a free rental dress for their next event ❂

Our incredible 12 person photo booth is being supplied by 'The Party Starters'. 

http://www.thepartystarters.com.au

♛ ♛ ♛

Palace Admission tickets will be available from 9:00am AEST, Tuesday 16th August. We invite attendees to take note of the Palace Admission release date.

To ensure tables and seating arrangements, please purchase tickets in large quantities (12 seats per table). Please allow one person per table to order up to twelve tickets; you may choose to use the QPAY application to assist in collecting payments between attendees within larger groups. Tickets may be purchased individually or in smaller groups, however we advise purchasing in larger groups.

For ticketing support enquiries, please contact QPAY (support@quicklypay.it).

Disclaimer: Strobe lighting and laser effects will be used during Neverland. Attendees that suffer from epilepsy and other visual/light stimulation effects are advised to take caution. Smoke and haze machines will be operating in controlled environments during Neverland, and attendees who suffer from asthma or similar inhalation disorders are encouraged to contact SUBS with any concerns.


♛ ♛ ♛

SUBS x GREENWOOD (AFTERS)
Greenwood Hotel is the exclusive venue partner for Neverland’s afterparty. Admission will only be available to Neverland attendees. Please see our other posts for more information.


♛ ♛ ♛

The University of Sydney Business School is the official institutional partner for Neverland.

""Never is an awfully long time.""
— All references from J. M. Barrie's 'The Lost Boys and Peter Pan.'

Run, run, Lost Boys,
SUBS ♥",Luna Park Crystal Ballroom,Sydney,Australia,1 Olympic Dr,2060.0,-33.84821247,151.2098095,7003,18:00:00+1000,2016-09-16,0
45,SydneyUniversityBusinessSociety,Men's Interfaculty Basketball,15,29,85,0,29,158,"Enjoy putting balls in nets and bouncing them repeatedly against the ground? Then we have just what you need.

This week, we're taking on the other faculties in Men's Basketball, so come on down to SUSAC to ball your way to glory. Free Red Bull for all those needing wingz, thanks to our lovely sponsor.

TIME: 10:30am start (so get there slightly before). Finishing time dependant on how far we progress, as it is knockout.
WHERE: SUSAC Indoor Basketball Courts",Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000005,7003,10:30:00+1000,2016-09-14,0
