,Society,event_name,attendance_count,interested_count,no_reply_count,declined_count,maybe_count,total_invited_count,description,start_time,place,city,country,street,zip,latitude,longitude,Sold_Out,Limit
10,SydneyUniversityBusinessSociety,SUBS X Trademax Capital Presents: Forex Live Trading Comp,55,102,123,0,102,382,"SUBS x Trademax Capital presents you with a LIVE trading experience in the real market. Are you interested in trading forex or commodities? Want to try your hand as a broker and score an iPhone X? Keep reading below! 

✤ PRIZES 

1ST PLACE: iPhone X 
2ND PLACE: $800
3RD PLACE: $500
4TH PLACE: $200 Gift Card
5TH PLACE: $100 Gift Card

✤ COMPETITION RULES

The trading experience is as real as it gets! There are no registration fees or invisible charges, with minimum trading volume to be accounted for in the final results are two standard lots (forex and precious metals only). The competition requires a low entry deposit of $200, which you will get back at the end including the profits you make! Are you a beginner? No problem! We have the knowledge and support available to you:
- Daily market reports 
- Daily live streaming market analysis
- Training sessions on Tuesday and Wednesday weekly for all trading levels. 

These are all run by professional analysts and experienced RG146 holders. We note that all training support is provided to participants for free, but are not liabilities of Goldland Capital/Trademax Capital. Some training materials will be in Mandarin only.

Rankings will be based on the accumulative rate of return (high to low) during the competition period. When rate of return is equal, rankings will be based on actual profit (high to low).

✤ SIGN-UP HERE

http://c.xiumi.us/stage/v5/2pQZX/56731172#/
(Or you can scan the QR code if you're feeling fancy)

✤ INFORMATION 

Website Link: https://www.trademax.com.au/

We note that as you are using your own money, any losses will be withdrawn from your $200. This should be difficult though - you have advice from professionals and substantial support at your disposal! 

✤ TIME ZONE

GMT+0, 0:00 - 23:59",2017-09-30T21:30:00+1000,University of Sydney - Camperdown Campus,Sydney,Australia,Parramatta Rd,2006.0,-33.888512,151.187479,0.0,0.0
11,SydneyUniversityBusinessSociety,Interfaculty Sport: Men's Basketball,26,19,68,0,19,132,"Coming up is another round of basketball with this week's sport being men's basketball! With the women's team coming up with a respectable finish last week, placing just outside the top 3, we want to capitalise on this run of form. We are looking to field two teams of 5 with as many as possible on the bench. Message Maren or Nathan if you're interested in playing this week. See you guys Wednesday morning at SUSAC!",2017-09-20T10:30:00+1000,Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000002,0.0,0.0
12,SydneyUniversityBusinessSociety,Interfaculty Sport: Women's Basketball,9,9,98,0,9,125,"This week's interfaculty sport is women's basketball! After being ejected early from badminton in the quarters last week, SUBS plans to bounce back with a win. We are looking for one team this week consisting of a starting 5 with as many as possible on the bench. So if you can knock down stepback fadeaway threes or have watched any of the High School Musical movies, travel down to SUSAC on Wednesday morning. Message Maren or Nathan if you're interested in playing the better version of netball or if you want more bad basketball puns.",2017-09-13T10:00:00+1000,Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000002,0.0,0.0
13,SydneyUniversityBusinessSociety,Interfactulty Sport: Rock Climbing,6,15,71,0,15,107,"Listen up...this week things are going to go down a bit differently.
We are looking for one person to represent SUBS in the Interfaculty rock-climbing Comp this Wednesday.
In addition to the rock-climbing we are looking for two girls and two guys to compete in the interfaculty badminton tournament (also held on Wednesday).  
If you are interested in either, please message Maren Giesler and she will be happy to discuss further details.",2017-09-06T12:00:00+1000,The Ledge Climbing Centre,Sydney,Australia,"University of Sydney, Western Ave",2006.0,-33.887534591201,151.18635839431002,0.0,0.0
14,SydneyUniversityBusinessSociety,Interfaculty Sport: Badminton,8,12,61,0,12,93,"Listen up...this week things are going to go down a bit differently.
We are looking for two girls and two guys to represent SUBS in the Interfaculty Badminton tournament this Wednesday.
Experience is not necessarily required but if you have played before or play competitively let us know.
In addition to the Badminton we are looking for another person to compete in the rock-climbing comp  (also held on Wednesday).  
If you are interested in either, please message Maren Giesler and she will be happy to discuss further details.",2017-09-06T10:00:00+1000,The Sports Clinic @ Sydney University,Sydney,Australia,Cnr Western Ave & Physics Road University of Sydney NSW 2006,2006.0,-33.887862015474,151.18639719261,0.0,0.0
15,SydneyUniversityBusinessSociety,SUBS attends: Wear It Purple @USyd,28,31,439,0,31,529,"Friday 25 August marks Wear it Purple Day – an opportunity to wear purple and demonstrate that everyone has the right to be proud of who they are, regardless of sex, sexuality or gender identity.""

SUBS will be supporting the Sydney Uni Ally Network's event for Wear It Purple! 

We'll meet outside the Quad at 5.30 for a big group photo! Wear purple so the squad can express our support for LGBTI kids in education, anti-bullying, and a very timely reminder to enrol with a vote for marriage equality coming soon!

🤳💜 Photoshoot 🤳💜
Time: 5.30pm to 6:00PM
Venue: At the front of the Clock Tower, The Quadrangle Building
Quad building will be lit up un purple - get your cameras ready for those grams / boomerang :)

Drinks
Time: from 6:00pm 
Venue: The Courtyard Café, Holme Building.

If you'd like a Wear It Purple T-shirt, contact SUBS contact Andrea before the day! It's a first in, best dressed endeavour. 

Andrea Zephyr, 0435818615

🚨 Deadline to enrol: Thurs 24th, 6pm.🚨
The Government is going ahead with a postal vote on the definition of marriage. If you want to vote, you need to enrol online immediately.
If you've never enrolled, go here: www.aec.gov.au/enrol
If you've enrolled or voted before, check your postal address is updated: https://check.aec.gov.au

Useful links
http://wearitpurple.org/",2017-08-25T17:30:00+1000,Quad Building- The University Of Sydney,Sydney,Australia,,,-33.88455747,151.18682099,0.0,0.0
16,SydneyUniversityBusinessSociety,SUBS Presents: High Achievers' Breakfast,92,85,516,0,85,778,"SUBS is proud to announce the Sydney University Business School Societies High Achievers Breakfast.

This breakfast will provide exclusive networking opportunities with a collection of premium sponsors from industry sectors including finance, marketing, consulting and accounting. Students can look forward to meeting some of the top graduate employers and industry professionals, including: 
- EY
- Deloitte
- Macquarie Group
- JP Morgan
- Uber
- CA
- Nexia
- Willis Tower Watson
- Project Everest
- Ribit 
- Nestlé. 

As the Sydney University Business Society’s largest and most coveted professional event, this is not an opportunity to be missed! Places are strictly limited, so get your applications in quick. 

Applications are now open at https://goo.gl/forms/dJ24NDsYJem3nSK53 and close on the 20th of August at 11:59pm.

ALL STUDENTS are welcome to apply to come to this breakfast! 

Details of the Event:
Date: Wednesday, 23rd of August 
Time: 9:00 am - 11:00 am
Location: The Refectory, Level 5, H70 Abercrombie St & Codrington St, Darlington
Dress Code: Business Attire

Looking forward to seeing you all there!",2017-08-23T09:00:00+1000,"The Refectory, Level 5, H70 Abercrombie St & Codrington St, Darlington",,,,,,,0.0,1.0
17,SydneyUniversityBusinessSociety,EY x SUBS Presents: EY Case Competition 2017,96,300,436,0,300,1132,"SUBS is proud to present the 2017 EY Case Competition (Semester 2)

In its third time running, and now in collaboration with 4 leading Australian Universities, EY is calling upon all students from the University of Sydney, Macquarie University, UTS and Monash (both Clayton and Caulfield campuses) to take part in the EY Case Competition.
 
EY Case Competition is an intervarsity competition challenging university students across all disciplines to form potential solutions to complex issues facing businesses today. This competition provides an unparalleled opportunity for students to explore the work of an EY Advisory Consultant.
 
Team size: 2-4
 
Applications are now open! Register your team here: https://docs.google.com/forms/d/e/1FAIpQLSemFYEP04qVSNzFNXbVEv4SnoJn5tFFRnKbJEBKcmNT-yILVQ/viewform?usp=sf_link

For questions and information on the case competition including key dates and submission guidelines, please see the relevant relevant university event page:

For USYD Students: https://tinyurl.com/EYCaseCompUSYD
For Macquarie University Students: https://tinyurl.com/EYCaseCompMQ
For UTS Students: https://tinyurl.com/EYCaseCompUTS
For University of Newcastle Students: https://tinyurl.com/EYCaseCompUoN

Proudly supported by shine+
 
COMPETITION STRUCTURE:
The Case Competition consists of 3 stages – an Initial Report Submission, the Campus Heats and the EY Finals.
 
Detailed instructions will be emailed to teams at the beginning of each stage.
 
1) Report Submission
After registering your team, applicants will be emailed case materials and the competition brief. Using the provided criteria to guide your submissions and drawing upon external research, students will have one week to submit their report.
 
2) Campus Heats and Campus Finals
The top report submissions will progress through to the Campus Heats round – transforming their report into a pitch and presenting to a panel of university academics and EY representatives.
 
3) EY Finals
The winning team from each Campus Final will represent their university at the EY Finals - held in the EY office at 200 George Street, Sydney. Teams will have 6 minutes to present their solutions followed by 4 minutes of question time.
 
KEY DATES:
Case Release: 21st August
Report Submission due: 27th August 
Campus Heats: Thursday 31st August
Campus Finals: Monday 4th September
EY Finals: Wednesday 6th September
 
The case provided by EY will be stimulating, and as such we advise all teams to allocate the time needed to best perform in each stage of the competition.

For any questions regarding the EY Case Competition, please message our society’s Facebook page or alternatively please email president@subsoc.com.au
 
PRIZES:
The top team from each university will compete for a cash prize of $1500, and mentoring from EY Consultants. An exclusive networking event with EY representatives will follow the presentations.

Thanks to our friends at shine+, 1st, 2nd and 3rd placed teams will also recieve boxes of shine+ so that they can Think Brighter. 
 
The EY Case Competition is brought to you in collaboration with Sydney University Business Society - SUBS , Macquarie University Business Society - MUBS, UTS Business Society, BusinessOne Consulting UTS, UTS Women in Business, BCSS Clayton and BCSS Caulfield 
 
Which university will come out on top? 
 
EY is a leading, global professional services firm. In 2016, advisory was the fastest growing service-line of EY, with this competition offering a premier chance for students to experience the life of an EY Advisory Consultant first-hand.",2017-08-21T09:00:00+1000,Abercrombie Building: University of Sydney Business School,Sydney,Australia,,,-33.892027483846,151.19099698698,0.0,0.0
18,SydneyUniversityBusinessSociety,UNSW BSOC x SUBS Presents: Synergy,591,1116,3761,0,1116,6584,"FIRST RELEASE: SOLD OUT
SECOND RELEASE SOLD OUT
THIRD RELEASE: https://tinyurl.com/y7tum2ne

★ ★ ★

Before the start of time, the universe was a dark and desolate wasteland, home to two orbiting planets: one of fire and one of ice. A sudden force sent the two worlds hurtling towards each other, colliding in a supernova of light, sound and energy. When the dust settled and all was still once again, an electrifying rhythm began to fill the void.

It was the start of a new era.

The UNSW Business Society and Sydney University Business Society present to you, the biggest of its kind, a collaborative dance party inviting students from both societies and across all universities. 

★ ★ ★ SYNERGY ★ ★ ★

5 BIG NAME DJs (Top 50 / EDM / House / RnB) 

2 UNIQUE STAGES

1 UNFORGETTABLE NIGHT 

FEATURING:
★ DJ RAVINE
★ RAVE RADIO
★ NASTYBOY
★ HAYDEN CLEARY 
★ KIRKBY

Hosted in the heart of the city at Sydney’s Metro Theatre, brace yourselves for a wild night with hits from your favourite artists and some of the freshest sets from Australia’s up and coming DJ’s. Bring the heat to mainstage or chill to house vibes in the Lair, just don’t miss out on this SYNERGY of sounds, lights and drinks. Save the date for the biggest collab since LV x Supreme and get your tickets soon! 

★ ★ ★ ONLINE TICKET RELEASE ★ ★ ★ 

FIRST RELEASE: SOLD OUT
SECOND RELEASE SOLD OUT
THIRD RELEASE: ON SALE NOW

BUY TICKETS HERE: https://tinyurl.com/y7tum2ne

UNSW Arc $35 
USYD Access $35 
Regular $40 

◈ RAAW Creative Photography

◈ Unlimited access bar 

◈ $5 drinks from 7pm - 8pm

◈ Snapchat Filter 

◈ Free Merchandise (wristbands, glow foam sticks etc.)

Please bring your ticket, ID and/or student ID to show on entry. Arc/Access tickets presented without the relevant student ID will need to pay an additional $10 CASH at the door.


This is an 18+ ONLY event. BSOC and SUBS supports the responsible service of alcohol. 
DISCLAIMER: This is not a rave, go to Defqon if you want lasers and doof doof

Unfortunately we offer no ticket refunds. Please email social@unswbsoc.com or events@subsoc.com.au for any questions or concerns. 

*************************************************************
Stay up to date and like BSOC:
Facebook Page: UNSW Business Society
Facebook Group: https://www.facebook.com/groups/unswbsoc/
Snapchat: unswbsoc

Stay up to date and like SUBS:
Facebook Page: Sydney University Business Society (SUBS)
Facebook Group: https://www.facebook.com/groups/1749145088651287/
Instagram: subsoc
Snapchat: subsoc",2017-08-17T19:00:00+1000,The Metro Theatre,Sydney,Australia,624 George Street,2000.0,-33.87576,151.20678,1.0,1.0
19,SydneyUniversityBusinessSociety,SUBS AGM,78,44,379,0,44,545,"NOTICE IS HEREBY GIVEN of the Annual General Meeting of the Sydney Uni Business Society. Nominations will be considered for executive positions by emailing secretary@subsoc.com.au with your name, nominated position and access number. Nominees may be required to give a short speech at the meeting. Please note that to nominate yourself for positions i through to iv you are required to have been an executive member.

AGENDA

1. OPENING AND WELCOME 
2. APOLOGIES AND LEAVES OF ABSENCE 
3. MINUTES OF THE PREVIOUS MEETING Minutes of the meeting held 26/04/2017 will be considered. 
4. BUSINESS ARISING FROM THE MINUTES 
5. CORRESPONDENCE Incoming and outgoing correspondence since the previous meeting of the Society will be circulated. 
6. MOTIONS ON NOTICE 
6.1 Amendment to the Constitution Motion: That the Constitution of the Society be amended at Clause 8.1 and any subsequent points be re-numbered as necessary. 
4.1 The Executives: Vice president (internal) and Vice president (external) shall be replaced with two general Vice president positions 

7. ELECTION Annual Election of Executives: The Society shall have an Executive consisting of: 
i. 1 President 
ii. 2 Vice Presidents 
iii. 1 Secretary
iv. 1 Treasurer 
v. 4 Events Directors 
vi. 2 External Relations Directors 
vii. 1 Marketing Director (Social Media) 
viii. 1 Marketing Director (Design) 
ix. 3 Publications Directors 
x. 2 Sports Directors 
xi. 2 Operations Directors 
xiii. 1 Alumni Relations Director
xv. 1 International Relations Director 
xvii. 1 Past President/Vice President Nominate via email to secretary@subsoc.com.au .
Nominations will close 24 hours prior to the AGM. 
8. REPORTS OF EXECUTIVE MEMBERS 
Report of the President. The President will deliver his report orally. Report of the Treasurer. The Treasurer will speak to his report attached. 
9. OTHER REPORTS 
10. GENERAL BUSINESS 
11. OTHER BUSINESS 
12. DATE OF THE NEXT MEETING The date of the next General Meeting will be confirmed as per the incoming executive 
13. CLOSE OF MEETING",2017-08-16T17:00:00+1000,Isabel Fidler Room,Camperdown,Australia,"Manning House, Manning Road",2050.0,-33.8865533,151.18778930000002,0.0,0.0
